Name,Description,MainProfile,SecondaryProfile,Skills,Talents,Entries,Exits
Anointed Priest,"A priest who has consistently upheld the tenets of his church is chosen by his God to take on greater power and responsibility. Anointed Priests are gifted with the Divine Lore of the deity they serve and consequently, they’re expected to take on challenges suitable to their new blessings. They often have all the attributes that their God admires, acting as beacons of faith to others in the Old World. Anointed Priests are greatly trusted by the common folk, who will often listen to them over both Nobles and Politicians, granting them a great deal of temporal power to complement the spiritual.","15,15,10,10,10,15,25,20","1,2,0,0,0,2,0,0","Academic Knowledge (any two), Academic Knowledge (Theology), Channelling, Charm, Common Knowledge (any two), Gossip, Heal, Magical Sense, Ride or Swim, Speak Arcane Language (Magick), Speak Language (any two)","Aethyric Attunement or Meditation, Armoured Casting or Fast Hands, Divine Lore (any one), Lesser Magic (any two), Seasoned Traveller or Strike Mighty Blow",Priest,"Demagogue, Flagellant, High Priest, Scholar, Witch Hunter"
Artisan,"Artisans are skilled craftsmen and masters of their trades. Most commonly found in towns and cities, Artisans are organized into a bewildering variety of guilds. The best craftsmen are attracted to the largest cities, such as Altdorf, Marienburg and Nuln. There they can command high prices from the richest clientele, or work with Merchants who can sell their goods in more distant locales. Some Artisans are so famous that even Nobles must put their names on waiting lists, for to have the work of a renowned master is sign of status. The masterwork of an Artisan is truly something to behold. ","0,0,10,10,20,10,10,10","0,3,0,0,0,0,0,0","Drive, Evaluate, Gossip, Haggle, Perception, Secret Language (Guild Tongue), Speak Language (Khazalid, Breton, or Tilean), Trade (any three)", Artistic or Etiquette,"Engineer, Militiaman, Navigator, Tradesma","Demagogue, Engineer, Guild Master, Merchant, Militiaman"
Assassin,"Killing for money is not unusual in the Old World. Soldiers and Mercenaries do it every day. Few sell swords achieve the Assassin’s level of lethality, however. These hired killers are expertly trained and deadly with a variety of weapons. Many also master the poisoner’s art. The best Assassins can dispatch their targets in a matter of seconds, leaving behind no evidence of their presence. Their services are much sought after by political and even religious bodies. Few Assassins care where the commissions come from. They only want a challenging mission and a fat purse for their fee. While most Assassins are loners, a rare few have organized into guilds.","25,25,10,10,30,20,10,20","2,3,0,0,0,0,0,0","Concealment, Disguise, Gossip, Perception, Prepare Poison, Scale Sheer Surface, Secret Signs (Thief), Shadowing, Silent Move","Quick Draw, Lightning Parry, Sharpshooter, Specialist Weapon Group (Entangling), Specialist Weapon Group (Parrying), Specialist Weapon Group (Throwing), Street Fighting, Streetwise, Swashbuckler","Entries: Champion, Duellist, Judicial Champion, Outlaw Chief, Spy, Targeteer"," Champion, Outlaw Chief, Rogue, Sergeant, Witch Hunter"
Captain,"Captains are the war leaders of the strife- wracked Old World. They command Soldiers, Militiamen, Mercenaries and even Roadwardens, on bloody battlefields and corpse-strewn streets in the endless military campaigns of the Empire and beyond. Most Captains are tough professional Soldiers who have survived dozens of fierce battles to get where they are. It’s no surprise then that they resent having to serve under inexperienced Nobles, an all too common occurrence. Captains tend to respect experience and ability over birth and social position. They know what counts on the battlefield.","30,20,20,20,20,15,15,25","2,7,0,0,0,0,0,0","Academic Knowledge (Strategy/ Tactics), Animal Care, Command, Common Knowledge (any three), Dodge Blow, Gossip, Read/Write, Ride, Secret Language (Battle Tongue), Speak Language (Kislevian or Tilean)","Disarm or Quick Draw, Lightning Parry, Specialist Weapon Group (Cavalry or Two-handed Weapon), Specialist Weapon Group (Flail or Parrying)","Explorer, Ghost Strider, Knight, Knight of the Inner Circle, Noble Lord, Outlaw Chief, Sergeant, Witch Hunter","Agitator, Explorer, Merchant, Outlaw Chief, Politician"
Cat Burglar,"Cat Burglars see themselves as a cut above the common thieves and footpads. They leave the slitting of both purses and throats to the gutter scum, preferring to steal with more finesse. The Cat Burglar’s art requires observation, planning, and impeccable timing. A well-executed theft may not even be detected for months, by which time the Cat Burglar is far away. Most Cat Burglars are members of a Thieves’ Guild, though some defy the odds and go it alone. Such lone wolves must elude both the law and the guild; a dangerous game to be sure.","10,10,5,5,25,10,10,0","0,4,0,0,0,0,0,0","Concealment, Evaluate, Gossip, Haggle, Perception, Pick Lock, Scale Sheer Surface, Search, Secret Language (Thieves’ Tongue), Secret Signs (Thief), Silent Move","Alley Cat, Street Fighting, Streetwise, Trapfinder","Bone Picker, Charlatan, Grave Robber, Rat Catcher, Thie","Crime Lord, Fence, Master Thief, Racketeer, Vagabond"
Champion,"Champions are warriors who dedicate their lives to martial combat, excelling as no others on the field of battle. They are not leaders of men, but as individual combatants they are peerless. They live for the moments when their skills are tested to the utmost, for only then do they truly know just how good they are. Many Champions serve in armies, warbands, and martial orders, though others wander the Empire, selling their formidable skills to the highest bidder. Their weapons are inevitably among the finest to be had in the Old World.","40,40,25,25,30,0,20,0","2,8,0,0,0,0,0,0","Dodge Blow, Evaluate, Intimidate, Perception","leet Footed or Lightning Reflexes, Lightning Parry, Master Gunner, Mighty Shot, Quick Draw, Rapid Reload, Specialist Weapon Group (any three), Wrestling","Assassin, Duellist, Judicial Champion, Knight of the Inner Circle, Targeteer, Veteran, Witch Hunter","Assassin, Scout, Sergeant, Witch Hunter"
Charlatan,"Charlatans are tricksters extraordinaire, cunning liars who can convince people of almost anything. With their glib tongues and ready wits they bilk the gullible out of their fortunes and escape with both the money and their lives. For a Charlatan, lying is like breathing. Common Charlatans are content to sell worthless miracle cures and trinkets that will supposedly ward off black magic whereas more skilled ones fake being other professions to collect consultation fees and sell off property that they don’t own. Legendary Charlatans run con schemes that try to take Nobles and rich Merchants for all they’re worth.","10,10,5,10,15,15,15,25","0,4,0,0,0,0,0,0","Blather, Charm, Common Knowledge (Bretonnia or Tilea), Disguise, Evaluate, Gamble, Gossip, Haggle, Perception, Secret Language (Thieves’ Tongue), Sleight of Hand, Speak Language (Breton or Tilean), Speak Language (Reikspiel)","Flee!, Mimic, Public Speaking, Schemer or Streetwise, Seasoned Traveller","Agitator, Camp Follower, Courtier, Entertainer, Envoy, Fence, Hedge Wizard, Journeyman Wizard, Minstrel, Rogue, Smuggler, Thie","Cat Burglar, Demagogue, Outlaw, Politician, Spy"
Courtier,"Courtiers surround the nobility at court, fawning over lieges and ladies in the hopes of getting ahead. They range from sycophants who desperately wish to please, to cunning schemers who seek the keys to wealth and prestige. Courtiers are frequently well-read and skilled public speakers, as they are often called upon to offer erudite opinions on a variety of subjects to their Noble patrons. No Courtier, no matter how clever, is ever fully secure in his position, as there is always another who desperately wants it and is willing to do nearly anything to get it. Female Courtiers are usually known as ladies-in-waiting.","5,5,0,0,10,20,20,20","0,4,0,0,0,0,0,0","Academic Knowledge (the Arts or History) or Gamble, Blather, Charm, Command or Performer (any one), Common Knowledge (Bretonnia or Tilea), Evaluate, Gossip, Perception, Read/Write, Ride, Speak Language (Breton or Tilean), Speak Language (Reikspiel)","Dealmaker or Etiquette, Public Speaking, Savvy or Suave, Schemer or Specialist Weapon Group (Fencing)","Noble, Herald, Pistolier, Politician","Charlatan, Duellist, Noble Lord, Politician, Steward, Spy"
Crime Lord,"Most cities of the Old World have one or more organized criminal organisations, such as Thieves’ or Assassins’ Guilds. Crime Lords are the leaders of these groups and they are powerful and dangerous folk. To be counted among their ranks one must be clever, ambitious and completely ruthless. Most claw their way up from the bottom, learning every dirty trick in the book as they ascend to power. Crime Lords can seldom afford the luxury of trust. They are experts at evaluating both people and situations to seek whatever advantage they can. Many Crime Lords become involved in local politics to further their power.","20,20,15,15,20,25,20,30","1,6,0,0,0,0,0,0","Charm, Command, Common Knowledge (the Empire), Dodge Blow, Evaluate, Gossip, Haggle, Intimidate, Perception, Secret Language (Thieves’ Tongue), Secret Signs (Thief), Torture","Dealmaker or Schemer, Menacing, Public Speaking, Resistance to Poison, Sixth Sense, Specialist Weapon Group (Crossbow or Parrying), Streetwise","Cat Burglar, Demagogue, Fence, Guild Master, Master Thief, Outlaw Chief, Politician, Steward","Demagogue, Master Thief, Outlaw Chief, Politician"
Daemon Slayer,"In every generation there are one or two Slayers who cannot seem to find the death they crave. At every turn, destiny cheats them or perhaps, drives them forward, and as the long years pass, they grow more and more fierce, determined to find the mighty doom that awaits them. When neither Trolls nor Giants can fell a Slayer, he takes on the mightiest foes of all: the Daemons of Chaos. Daemon Slayers are frightening individuals. They are barely sane at best, the shame of their continuing survival weighing ever on their thoughts, yet they’re also among the greatest warriors that the Old World has ever known.","40,0,30,30,20,0,30,0","2,8,0,0,0,0,0,0","Common Knowledge (any two), Consume Alcohol, Dodge Blow, Intimidate, Scale Sheer Surface","Lightning Parry, Unsettling", Giant Slayer,
