Name,Description,MainProfile,SecondaryProfile,Skills,Talents,Entries,Exits
Agitator,"For the most part, the people of the Empire have little say in politics. The Emperor and the Elector Counts make and enforce the laws, with the support of the various churches (Sigmar and Ulric most conspicuously). Nonetheless, ardent political activists are a common sight in the cities of the Empire. These Agitators organize on behalf of various causes, handing out leaflets, giving rousing speeches, and stirring up the populace. The lunatic fringe is simply ignored, but successful Agitators—those who can tap into the wellspring of Peasant and Burgher resentment—are usually viewed as a threat to the state. They are hounded by local watchman, accused of heresy by church officials, or forced to submit to the tender mercies of the Witch Hunters. Agitators continue on despite the risks. Some truly believe in their cause, but others are cynical power seekers as corrupt as those they rail against","5,5,0,0,5,10,0,10","0,2,0,0,0,0,0,0"," Academic Knowledge (History) or Gossip, Academic Knowledge (Law) or Common Knowledge (the Empire), Concealment, Charm, Perception, Read/ Write, Speak Language (Breton or Tilean), Speak Language (Reikspiel)","Coolheaded or Street Fighting, Flee!, Public Speaking","Burgher, Captain, Herald, Highwayman, Scribe, Servant, Student, Zealot","Charlatan, Demagogue, Outlaw, Politician,Rogue, Zealot"
Apprentice Wizard,"Humans born with magical talent are dangerous and feared individuals. Daemons and disaster gather about an untrained Wizard. To deal with this threat the Empire sends such people away to join one of the eight Orders of Wizardry. During their apprenticeship young Wizards learn how to practice magic safely, and contemplate which Order they will eventually join. Some apprentices will be bound to serve the Wizard who uncovered their talents, whilst others adventure to garner enough money to pay for their tutelage at the Colleges of Magic. Elves are naturally magical, and do not need to attend these Human institutions, learning from their own lore masters instead. See Chapter 7: Magic for more details on the Orders of Magic.","0,0,0,0,5,10,15,5","0,2,0,0,0,1,0,0","Academic Knowledge (Magic), Channelling, Magical Sense, Perception, Read/Write, Search, Speak Arcane Language (Magick), Speak Language (Classical)","Aethyric Attunement or Fast Hands, Petty Magic (Arcane), Savvy or Very Resilient","Hedge Wizard, Scholar, Scribe, Student","Journeyman Wizard, Scholar, Scribe"
Bailiff,"Bailiffs are manorial officials in the service of Noble Lords. While many of their duties involve the upkeep of the lands and resources of the manor proper, they are notorious amongst the peasantry for something else entirely. Bailiffs are collectors of rents and taxes from the villages surrounding their manors, and enforcers of the Peasants’ labour obligations to their lords. These duties make them deeply unpopular with the villagers, particularly during the lean times. As the hated face of lordly imposition, Bailiffs are the first to die when the Peasants get angry and revolt","5,5,5,0,0,10,5,10","0,2,0,0,0,0,0,0","Academic Knowledge (Law), Animal Care or Gossip, Charm, Command or Navigation, Intimidate or Common Knowledge (the Empire), Perception, Read/ Write, Rid","Etiquette or Super Numerate, Public Speaking","Bodyguard, Jailer","Militiaman, Politician, Protagonist, Racketeer, Smuggler, Toll Keeper"
Barber-Surgeon,"Barber-Surgeons provide painful but effective healing to the common folk of the Empire. They are not as learned as Physicians, which is why Physicians maintain a separate guild, but they know quite a lot about anatomy. While they do cut hair and shave, they are more noted for their bleedings, surgeries, and amputations. Barber-Surgeons carry a variety of razor-sharp blades, from small scalpels to enormous bone saws. They have even more sinister looking tools for the most hated of their avocations: dentistry. Many large ships have a dedicated Barber-Surgeon as part of the crew; they are also common in towns and cities.","5,0,0,0,10,10,10,5","0,2,0,0,0,0,0,0","Charm, Drive or Swim, Haggle, Heal, Perception, Read/Write, Speak Language (Breton, Reikspiel, or Tilean), Trade (Apothecary)","Resistance to Disease or Savvy, Suave or Very Resilient, Surger","Initiate, Student","Interrogator, Grave Robber, Physician, Tradesman, Vagabond"
Boatman,"The rivers of the Empire are vital arteries of communication and commerce. They provide speedy transportation and link most of the major cities of the realm. Boatmen ply these busy waterways, taking passengers and goods throughout the Empire and even into Kislev. Although the rivers are safer than the dark forest roads, they are not without danger. Many routes pass through wild country untouched by civilisation. Boatmen must be ready to protect their cargoes and fares from raiders and bandits. Experienced Boatmen are tough and resourceful, equally adept at boat handling, navigation, and combat. ","10,5,5,5,10,5,0,0","0,2,0,0,0,0,0,0","Common Knowledge (The Empire or Kislev), Consume Alcohol or Gossip, Navigation, Outdoor Survival, Perception, Row, Sail, Secret Language (Ranger) or Speak Language (Kislevian), Swim","Orientation, Seasoned Traveller","Ferryman, Smuggler","Fisherman, Marine, Navigator, Seaman, Smuggler"
Bodyguard,"Old Worlders claim Altdorf merchants are so dishonest they can’t even trust themselves with their own lives—thus they pay Bodyguards to look after their assets. The Old World is, of course, a dangerous place and its cities are no exception. It’s all too easy to end up with a knife in the back on the crowded streets of a major metropolis like Nuln or Middenheim. The rich and powerful use Bodyguards to protect themselves from thieves and common riffraff. While many look like the thugs they are, others are gussied up in the livery of the Noble or Merchant House they serve. Some of the groups are so big that they are practically private armies.","10,0,5,5,5,0,0,0","1,3,0,0,0,0,0,0","Dodge Blow, Heal, Intimidate, Perception","Disarm or Quick Draw, Specialist Weapon Group (Parrying), Specialist Weapon Group (Throwing), Street Fighting, Strike to Stun, Very Strong or Very Resilient"," Estalian Diestro, Jailer, Mercenary, Thug","Bailiff, Bounty Hunter, Interrogator, Jailer, Mercenary, Protagonist, Racketeer"
Bone Picker,"Bone Pickers are scavengers, scraping a living together off the refuse of others. They lead their carts through villages and towns, collecting old bones, rags, and other junk and disposing of it in return for a few pennies or a small item in trade. Sometimes known as rag and bone men or rag pickers, they are a common sight in the Empire’s cities, which generate large amounts of waste. Since many goods pass through their hands, Bone Pickers are also petty traders. What is trash to a wealthy Burgher is treasure to a poor Peasant. ","5,0,5,10,5,0,5,5","0,2,0,0,0,0,0,0","Animal Care, Charm or Gossip, Drive, Common Knowledge (the Empire), Evaluate, Haggle, Perception, Search","Coolheaded or Streetwise, Hardy or Resistance to Disease","Peasant, Rat Catcher, Vagabond","Camp Follower, Cat Burglar, Fence, Grave Robber, Smuggler"
Bounty Hunter,"Bounty Hunters live by tracking down wanted criminals, bandits, and fugitives and bringing them to justice. The lone Bounty Hunter can go places that ungainly military units cannot, which makes such men a useful adjunct to the watch and militia. Local rulers, guilds, and councils pay the bounties. They may find Bounty Hunters distasteful, but they are an effective counter to brigands, Goblin bands, and the like. Bounty Hunters are professional killers who place little value on sanctity of life. They are utterly ruthless, using their formidable skills to track and eliminate their quarries. The poor view them with fear, since more than one Peasant has been murdered and passed off as the real culprit. The authorities view them as a necessary evil, but never a welcome one.","5,10,5,0,10,0,5,0","0,2,0,0,0,0,0,0","Follow Trail, Intimidate, Outdoor Survival, Perception, Search, Shadowing, Silent Move","Marksman or Strike to Stun, Rover, Specialist Weapon Group (Entangling), Sharpshooter or Strike Mighty Blow","Bodyguard, Fieldwarden, Hunter, Kislevite Kossar, Mercenary, Pit Fighter","Mercenary, Protagonist, Scout, Targeteer, Vampire Hunter"
Burgher,"As cities have become more and more important to the Empire, a new class of citizen has emerged: the Burgher. Burghers—or their ancestors— clawed their way up from the peasantry and made new lives for themselves in the cities. Now they are the glue that holds urban society together. Burghers are shop owners, petty merchants, excisemen, traders, and local officials. They are neither as despised as the peasantry nor as exalted as the nobility. While they suffer the most from plague, living in tightly packed neighbourhoods as they do, they would not leave the city for a life of hard toil in the country. In their minds, cities breed opportunity, not just disease.","5,0,0,0,5,10,5,5","0,2,0,0,0,0,0,0","Common Knowledge (the Empire) or Consume Alcohol, Drive, Evaluate, Gossip or Read/Write, Haggle, Perception, Search, Speak Language (Breton, Kislevian, or Tilean), Speak Language (Reikspiel)","Dealmaker, Savvy or Suav","Innkeeper, Servant","Agitator, Fence, Innkeeper, Merchant, Militiaman, Tradesman, Valet"
Camp Follower,"In the Empire, armies are always on the move. Forces range from local militia units scouring the forest for bandits to the full armed might of the Emperor taking the field against greenskins or the forces of Chaos. No army travels alone. A caravan of Camp Followers always trails behind. They include petty traders looking to make extra money, war widows trying to make a wage cooking or sewing, and corpse looters hoping to scavenge battlefields. While scorned by the Noble leaders of many armies, Camp Followers provide key support for troops in the field. ","0,0,0,5,10,5,5,10","0,2,0,0,0,0,0,0","Animal Care or Drive, Charm or Evaluate, Gossip, Haggle, Perception, Search, Any one of: Trade (Armourer, Bowyer, Cartographer, Cook, Gunsmith, Herbalist, Merchant, Smith, Tailor, or Weaponsmith), Speak Language (Breton, Kislevian, or Tilean), Sleight of Hand","Dealmaker or Street Fighter, Flee!, Hardy or Suave, Resistance to Disease or Seasoned Traveller","Bone Picker, Servant","Charcoal-Burner, Charlatan, Servant, Smuggler, Spy, Tradesman, Vagabond"
Charcoal-Burner,"Charcoal-Burners can be found in every village in the Empire. They burn wood to create charcoal, an important fuel for the winter months. Since their work is both dirty and potentially dangerous, they work outside their villages. The outskirts of the forest are best, as wood is easily accessible. This proximity to the forest also makes charcoal-burning dangerous work, since isolated parties of such men are easy prey for the malign creatures of the wood. A Charcoal- Burner camp always has weapons handy, even if they are nothing more than clubs cut from the nearby trees.","5,0,5,5,5,5,5,5","0,2,0,0,0,0,0,0","Common Knowledge (the Empire) or Concealment, Drive or Gossip, Haggle, Outdoor Survival, Perception, Scale Sheer Surface, Search, Secret Signs (Ranger)","Flee!, Savvy or Very Strong","Camp Follower, Hunter, Miner, Peasant","Hunter, Miner, Scout, Vagabond, Woodsman"
Coachman,"While the Empire is a mighty nation, its lands are far from safe. Large stretches of it have never been pacified or cultivated. A precarious system of roads connects the villages, towns, and cities, and it is here that the Coachmen earn their pay, working for one of the many Imperially chartered coaching companies. The roads are frequently in ill repair or plagued by Goblins, Beastmen, and brigands. Nonetheless, the Coachmen risk life and limb to bring passengers and cargo safely through the hazards of the Imperial roadways. Each day is a race to reach the next settlement or coaching inn before sunset. No one wants to be on the road in the dark of the night, especially when the Chaos moon is in the sky.","5,10,0,0,10,0,5,5","0,2,0,0,0,0,0,0","Animal Care, Drive, Gossip or Haggle, Heal or Ride, Navigation, Perception, Secret Signs (Ranger), Speak Language (Breton, Kislevian, or Tilean","Quick Draw or Seasoned Traveller, Specialist Weapon Group (Gunpowder)","Outrider, Messenger","Ferryman, Highwayman, Outlaw, Roadwarden, Scout, Smuggler, Toll Keeper"
Entertainer,"From acrobats to strongmen, from knife throwers to hypnotists, from dancers to ventriloquists, the Empire is full of Entertainers. Some do it for the roar of the crowd and others for the money. Many become Entertainers just to escape the hard life of the Imperial villager. Entertainers travel frequently, sometimes alone but more often in troupes that perform in villages, towns, and cities. Lucky troupes get continuous bookings, sometimes spending months in the same city. The less fortunate scrape by as they can, always looking for a more appreciative crowd (or a less suspicious watch) over the next hill. The very best Entertainers gain Noble sponsorship and earn undreamed of sums of money performing for the upper crust.","5,10,0,0,10,0,5,10","0,2,0,0,0,0,0,0","Animal Care or Swim, Charm, Common Knowledge (the Empire), Evaluate or Gossip, Perception, Performer (any two), Speak Language (Reikspiel), Any one of: Animal Training, Blather, Charm Animal, Hypnotism, Ride, Scale Sheer Surface, Sleight of Hand, Ventriloquism","Contortionist, Lightning Reflexes, Mimic, Public Speaking, Quick Draw, Sharpshooter, Specialist Weapon Group (Throwing), Trick Riding, Very Strong, Wrestling","Herald, Rogue, Thief, Vagabond","Charlatan, Minstrel, Rogue, Thief, Vagabond"
Envoy,"The elder members of the great Elven mercantile families are far removed from the everyday life of the Empire. To them, Humans live and die so quickly that it’s hard to keep up with current trends and politics in the Old World. When they need such knowledge, they turn to their Envoys. These young Elves are the public face of the Merchant Houses. They negotiate the contracts, make the deals, and keep the peace with the Humans of trading hubs such as Altdorf, Nuln, and Marienburg. Even Elves have a limit to their patience, so it is unsurprising that many Envoys take leave of their families for the adventurer’s life. ","5,5,0,0,5,10,5,10","0,2,0,0,0,0,0,0","Charm, Common Knowledge (the Empire or the Wasteland), Evaluate, Gossip, Haggle, Perception, Read/Write, Secret Language (Guild Tongue), Swim, Trade (Merchant)",Dealmaker or Seasoned Traveller," Student, Tradesman","Charlatan, Merchant, Rogue, Seaman, Student, Vagabond"
