Roll,RollMax,Star Sign,Significance
1,5,Wymund the Anchorite,Sign of Enduring
6,10,The Big Cross,Sign of Clarity 
11,15,The Limner’s Line,Sign of Precision
16,25,Gnuthus the Ox,Sign of Dutiful Service
26,30,Dragomas the Drake,Sign of Courage
31,35,The Gloaming,Sign of Illusion and Mystery
36,40,Grungni’s Baldric,Sign of Martial Pursuits
41,45,Mammit the Wise,Sign of Wisdom
46,50,Mummit the Fool,Sign of Instinct
51,55,The Two Bullocks,Sign of Fertility and Craftsmanship
56,60,The Dancer,Sign of Love and Attraction
61,65,The Drummer,Sign of Excess and Hedonism
66,70,The Piper,Sign of the Trickster
71,75,Vobist the Faint,Sign of Darkness and Uncertainty
76,80,The Broken Cart,Sign of Pride
81,85,The Greased Goat,Sign of Denied Passions
86,90,Rhya’s Cauldron,Sign of Mercy, Death and Creation
91,95,Cackelfax the Cockerel,Sign of Money and Merchants
96,98,The Bonesaw,Sign of Skill and Learning
99,100,The Witchling Star,Sign of Magic
